Date,Description,Reference,Amount
2026-06-01,ACH DEBIT NORTHGATE REALTY,NR-M1-RENT,-9100.00
2026-06-01,OPENING DEPOSIT FOUNDER CAPITAL,,75000.00
2026-06-02,ACH CREDIT BRIGHTLINE ANALYTICS,,14500.00
2026-06-05,ACH DEBIT CLOUDSPAN INFRASTRUCTURE,CS-44821,-3480.00
2026-06-06,ACH CREDIT KESTREL LOGISTICS,,8250.00
2026-06-10,ACH DEBIT IRONCLAD SUPPLY CO,INV-IC-7741,-12750.00
2026-06-11,ACH CREDIT FERROUS WORKS LTD,,22100.00
2026-06-15,ACH CREDIT NOVATO HEALTH SYSTEMS,,6400.00
2026-06-17,SQ *DEP 88241 PAYOUT,,11900.00
2026-06-17,ACH DEBIT VERITY AUDIT PARTNERS,VAP-2291,-5600.00
2026-06-19,BILL PAY 7734 REF 5590,CWF-0912,-2340.00
2026-06-20,ACH CREDIT PINNACLE ROBOTICS PARTIAL,,9000.00
2026-06-22,WIRE FEE INTL,,-45.00
2026-06-24,TRANSFER TO SAVINGS,,-5000.00
2026-06-28,MONTHLY SERVICE CHARGE,,-38.00
2026-06-28,INTEREST PAID,,12.40
