Value Date;Narrative;Debit;Credit
02/07/2026;ACH DEBIT NORTHGATE REALTY;9,100.00;
03/07/2026;ACH CREDIT FERROUS WORKS LTD;;9,800.00
05/07/2026;ACH DEBIT BEACON MEDIA BUYING;4,100.00;
08/07/2026;ACH CREDIT PINNACLE ROBOTICS;;9,000.00
08/07/2026;ACH CREDIT NOVATO HEALTH SYSTEMS;;5,200.00
14/07/2026;ACH CREDIT KESTREL LOGISTICS;;15,600.00
15/07/2026;PYMT PROCESSOR REF 44219;;7,300.00
20/07/2026;MONTHLY SERVICE CHARGE;38.00;
21/07/2026;ACH DEBIT VERITY AUDIT PARTNERS;3,200.00;
25/07/2026;TRANSFER TO SAVINGS;3,000.00;
28/07/2026;INTEREST PAID;;14.10
