Posted,Memo,Check No,Net
08/02/2026,MONTHLY SERVICE CHARGE,,($38.00)
08/04/2026,ACH CREDIT BRIGHTLINE ANALYTICS,,"$16,800.00"
08/07/2026,ACH DEBIT IRONCLAD SUPPLY CO,INV-IC-8890,"($8,900.00)"
08/11/2026,ACH CREDIT PINNACLE ROBOTICS,,"$9,400.00"
08/12/2026,ACH DEBIT CLOUDSPAN INFRASTRUCTURE,CS-45210,"($3,480.00)"
08/16/2026,ACH CREDIT FERROUS WORKS LTD,,"$12,100.00"
08/18/2026,ACH TRANSFER REF 90312,,"$6,700.00"
08/19/2026,ACH DEBIT CROSSWIND FREIGHT,CWF-1044,"($3,100.00)"
08/19/2026,TRANSFER TO SAVINGS,,"($4,000.00)"
08/27/2026,INTEREST PAID,,$15.80
